type,flagname,default,min,max
intx,Tier0ProfilingStartPercentage,200.0,100.0,300.0
intx,Tier23InlineeNotifyFreqLog,20.0,10.0,30.0
intx,Tier2BackEdgeThreshold,0.0,0.0,0.0
intx,Tier2BackedgeNotifyFreqLog,14.0,7.0,21.0
intx,Tier2CompileThreshold,0.0,0.0,0.0
intx,Tier2InvokeNotifyFreqLog,11.0,5.5,16.5
intx,Tier3BackEdgeThreshold,60000.0,30000.0,90000.0
intx,Tier3BackedgeNotifyFreqLog,13.0,6.5,19.5
intx,Tier3CompileThreshold,2000.0,1000.0,3000.0
intx,Tier3DelayOff,2.0,1.0,3.0
intx,Tier3DelayOn,5.0,2.5,7.5
intx,Tier3InvocationThreshold,200.0,100.0,300.0
intx,Tier3InvokeNotifyFreqLog,10.0,5.0,15.0
intx,Tier3LoadFeedback,5.0,2.5,7.5
intx,Tier3MinInvocationThreshold,100.0,50.0,150.0
intx,Tier4BackEdgeThreshold,40000.0,20000.0,60000.0
intx,Tier4CompileThreshold,15000.0,7500.0,22500.0
intx,Tier4InvocationThreshold,5000.0,2500.0,7500.0
intx,Tier4LoadFeedback,3.0,1.5,4.5
intx,Tier4MinInvocationThreshold,600.0,300.0,900.0
intx,TieredCompileTaskTimeout,50.0,25.0,75.0
intx,TieredRateUpdateMaxTime,25.0,12.5,37.5
intx,TieredRateUpdateMinTime,1.0,0.5,1.5
intx,TieredStopAtLevel,4.0,2.0,6.0
intx,TraceRedefineClasses,0.0,0.0,0.0
intx,TrackedInitializationLimit,50.0,25.0,75.0
intx,TypeProfileArgsLimit,2.0,1.0,3.0
uintx,TypeProfileLevel,111.0,55.5,166.5
intx,TypeProfileMajorReceiverPercent,90.0,45.0,135.0
intx,TypeProfileParmsLimit,2.0,1.0,3.0
intx,TypeProfileWidth,2.0,1.0,3.0
intx,UnguardOnExecutionViolation,0.0,0.0,0.0
intx,UseAVX,1.0,0.5,1.5
intx,UseSSE,4.0,2.0,6.0
intx,VMThreadPriority,-1.0,-1.5,-0.5
intx,VMThreadStackSize,1024.0,512.0,1536.0
intx,ValueMapInitialSize,11.0,5.5,16.5
intx,ValueMapMaxLoopSize,8.0,4.0,12.0
intx,ValueSearchLimit,1000.0,500.0,1500.0
intx,WorkAroundNPTLTimedWaitHang,1.0,0.5,1.5
uintx,YoungGenerationSizeIncrement,20.0,10.0,30.0
uintx,YoungGenerationSizeSupplement,80.0,40.0,120.0
uintx,YoungGenerationSizeSupplementDecay,8.0,4.0,12.0
uintx,YoungPLABSize,4096.0,2048.0,6144.0
intx,hashCode,5.0,2.5,7.5
